##,Player,GS,MIN,FG,FGA,3PT,3PTA,FT,FTA,ORB,DRB,PF,A,TO,BLK,STL,PTS,Opponent,Opp_score,UM_score,Date,Court,Result
12,"12 Abdur-Rahkman, M-A",*,44,2,10,2,6,2,2,0,2,1,3,2,0,0,8,UCLA,69,78,12/09/17,home,W
55,"55 Brooks, Eli",*,21,2,5,1,3,2,2,0,0,2,3,1,0,1,7,UCLA,69,78,12/09/17,home,W
22,"22 Robinson, Duncan",*,34,1,7,0,5,0,0,0,2,3,2,1,0,4,2,UCLA,69,78,12/09/17,home,W
3,"3 Simpson, Zavier",,24,6,9,2,2,1,2,0,2,1,0,2,0,4,15,UCLA,69,78,12/09/17,home,W
15,"15 Teske, Jon",,10,1,1,0,0,0,0,2,0,2,0,0,0,0,2,UCLA,69,78,12/09/17,home,W
2,"2 Poole, Jordan",,11,0,3,0,3,1,2,0,1,0,0,1,0,0,1,UCLA,69,78,12/09/17,home,W
4,"4 Livers, Isaiah",,11,0,2,0,2,0,0,1,6,2,1,0,0,0,0,UCLA,69,78,12/09/17,home,W
5,"5 Simmons, Jaaron",,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,UCLA,69,78,12/09/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,UCLA,69,78,12/09/17,home,W
,Totals,-,225,30,64,10,29,8,22,6,24,18,15,11,0,12,78,UCLA,69,78,12/09/17,home,W
12,"12 Abdur-Rahkman, M-A",*,36,7,15,2,4,1,2,4,6,3,1,2,1,0,17,Texas,52,59,12/12/17,away,W
1,"1 Matthews, Charles",*,32,4,10,1,2,3,5,3,5,3,2,1,0,0,12,Texas,52,59,12/12/17,away,W
13,"13 Wagner, Moritz",*,21,4,8,2,5,0,0,0,3,1,0,2,0,1,10,Texas,52,59,12/12/17,away,W
22,"22 Robinson, Duncan",*,19,2,4,1,3,5,5,0,4,4,0,1,0,0,10,Texas,52,59,12/12/17,away,W
55,"55 Brooks, Eli",*,14,0,2,0,1,0,0,0,3,0,1,0,0,0,0,Texas,52,59,12/12/17,away,W
3,"3 Simpson, Zavier",,26,2,6,0,2,0,0,0,3,2,4,1,0,1,4,Texas,52,59,12/12/17,away,W
2,"2 Poole, Jordan",,8,2,2,0,0,0,0,0,1,0,0,0,0,0,4,Texas,52,59,12/12/17,away,W
4,"4 Livers, Isaiah",,22,1,5,0,2,0,0,1,2,3,0,1,0,0,2,Texas,52,59,12/12/17,away,W
15,"15 Teske, Jon",,18,0,3,0,0,0,0,1,2,1,0,2,2,1,0,Texas,52,59,12/12/17,away,W
23,"23 Watson, Ibi",,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Texas,52,59,12/12/17,away,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Texas,52,59,12/12/17,away,W
,Totals,-,200,22,55,6,19,9,12,10,30,17,9,10,3,3,59,Texas,52,59,12/12/17,away,W
1,"1 Matthews, Charles",*,24,8,16,1,3,3,5,0,7,2,0,1,1,2,20,Detroit Mercy,58,90,12/16/17,neutral,W
15,"15 Teske, Jon",*,28,6,12,0,0,3,4,6,4,0,1,0,0,2,15,Detroit Mercy,58,90,12/16/17,neutral,W
22,"22 Robinson, Duncan",*,21,4,5,3,4,0,0,0,1,2,0,1,0,0,11,Detroit Mercy,58,90,12/16/17,neutral,W
55,"55 Brooks, Eli",*,14,1,4,1,3,1,2,0,2,2,2,1,1,0,4,Detroit Mercy,58,90,12/16/17,neutral,W
12,"12 Abdur-Rahkman, M-A",*,26,1,6,0,2,0,1,0,6,0,2,0,0,1,2,Detroit Mercy,58,90,12/16/17,neutral,W
3,"3 Simpson, Zavier",,19,5,7,2,2,0,0,1,4,0,7,0,0,3,12,Detroit Mercy,58,90,12/16/17,neutral,W
2,"2 Poole, Jordan",,15,5,10,2,4,0,0,0,2,3,1,1,0,1,12,Detroit Mercy,58,90,12/16/17,neutral,W
23,"23 Watson, Ibi",,10,2,3,2,3,1,2,1,1,1,2,1,0,2,7,Detroit Mercy,58,90,12/16/17,neutral,W
51,"51 Davis, Austin",,7,2,3,0,0,0,0,0,0,5,0,1,1,0,4,Detroit Mercy,58,90,12/16/17,neutral,W
5,"5 Simmons, Jaaron",,12,0,2,0,1,3,5,0,0,1,1,0,0,0,3,Detroit Mercy,58,90,12/16/17,neutral,W
4,"4 Livers, Isaiah",,20,0,3,0,1,0,0,5,1,2,3,2,2,0,0,Detroit Mercy,58,90,12/16/17,neutral,W
0,"0 Hibbitts, Brent",,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Detroit Mercy,58,90,12/16/17,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Detroit Mercy,58,90,12/16/17,neutral,W
,Totals,-,200,34,72,11,23,11,19,15,29,18,19,9,5,11,90,Detroit Mercy,58,90,12/16/17,neutral,W
1,"1 Matthews, Charles",*,26,12,15,2,5,5,7,0,2,2,4,3,0,1,31,Alabama A&M;,47,97,12/21/17,home,W
22,"22 Robinson, Duncan",*,22,6,8,5,7,1,2,0,2,1,0,0,1,1,18,Alabama A&M;,47,97,12/21/17,home,W
12,"12 Abdur-Rahkman, M-A",*,24,5,6,4,5,0,0,0,1,2,5,0,0,1,14,Alabama A&M;,47,97,12/21/17,home,W
15,"15 Teske, Jon",*,23,3,4,0,0,1,3,0,4,2,0,2,2,0,7,Alabama A&M;,47,97,12/21/17,home,W
55,"55 Brooks, Eli",*,15,0,2,0,2,0,0,0,3,1,4,0,0,2,0,Alabama A&M;,47,97,12/21/17,home,W
4,"4 Livers, Isaiah",,17,3,5,2,4,1,3,2,5,1,2,1,1,1,9,Alabama A&M;,47,97,12/21/17,home,W
23,"23 Watson, Ibi",,11,2,5,2,3,0,0,0,0,0,1,0,0,1,6,Alabama A&M;,47,97,12/21/17,home,W
2,"2 Poole, Jordan",,13,1,3,0,1,2,2,0,1,0,1,1,0,1,4,Alabama A&M;,47,97,12/21/17,home,W
51,"51 Davis, Austin",,12,2,3,0,0,0,1,1,4,3,0,1,1,1,4,Alabama A&M;,47,97,12/21/17,home,W
24,"24 Baird, CJ",,3,1,2,0,1,0,0,0,0,0,0,0,0,0,2,Alabama A&M;,47,97,12/21/17,home,W
25,"25 Ozeir, Naji",,3,1,1,0,0,0,0,0,1,1,0,0,0,1,2,Alabama A&M;,47,97,12/21/17,home,W
